,jurisdiccion_aplicacion,jurisdiccion_aplicacion_id,fecha_aplicacion,Vacunas1,Vacunas2,Casos,id,provincia,poblacion_2021_est,Vacunas_Acum,Porcentaje_Poblacion_Vacunada
0,Buenos Aires,06,2020-12-29,1815,0,4851.0,06,Buenos Aires,17709598,1815,0.0001024867984016351
1,Buenos Aires,06,2020-12-30,3102,0,4842.0,06,Buenos Aires,17709598,4917,0.00027764605385170233
2,Buenos Aires,06,2020-12-31,61,0,2501.0,06,Buenos Aires,17709598,4978,0.0002810905137428868
3,Buenos Aires,06,2021-01-01,6,0,1281.0,06,Buenos Aires,17709598,4984,0.0002814293130764459
4,Buenos Aires,06,2021-01-02,76,0,2692.0,06,Buenos Aires,17709598,5060,0.0002857207713015281
5,Buenos Aires,06,2021-01-03,10,0,2008.0,06,Buenos Aires,17709598,5070,0.00028628543685746
6,Buenos Aires,06,2021-01-04,2899,0,5560.0,06,Buenos Aires,17709598,7969,0.00044998198152211024
7,Buenos Aires,06,2021-01-05,3400,0,5607.0,06,Buenos Aires,17709598,11369,0.0006419682705389473
8,Buenos Aires,06,2021-01-06,4390,0,5175.0,06,Buenos Aires,17709598,15759,0.0008898564495930398
9,Buenos Aires,06,2021-01-07,8857,0,5386.0,06,Buenos Aires,17709598,24616,0.0013899807324819005
10,Buenos Aires,06,2021-01-08,10421,0,5183.0,06,Buenos Aires,17709598,35037,0.0019784187083185063
11,Buenos Aires,06,2021-01-09,5361,0,3235.0,06,Buenos Aires,17709598,40398,0.0022811359128535836
12,Buenos Aires,06,2021-01-10,221,0,2356.0,06,Buenos Aires,17709598,40619,0.002293615021639678
13,Buenos Aires,06,2021-01-11,7991,0,5284.0,06,Buenos Aires,17709598,48610,0.0027448392673848384
14,Buenos Aires,06,2021-01-12,9061,0,4998.0,06,Buenos Aires,17709598,57671,0.003256482727614709
15,Buenos Aires,06,2021-01-13,8365,0,4880.0,06,Buenos Aires,17709598,66036,0.0037288254651517217
16,Buenos Aires,06,2021-01-14,7768,0,4810.0,06,Buenos Aires,17709598,73804,0.004167457668999602
17,Buenos Aires,06,2021-01-15,7611,0,4196.0,06,Buenos Aires,17709598,81415,0.00459722462361935
18,Buenos Aires,06,2021-01-16,3408,0,2913.0,06,Buenos Aires,17709598,84823,0.004789662645080933
19,Buenos Aires,06,2021-01-17,12,0,1966.0,06,Buenos Aires,17709598,84835,0.004790340243748051
20,Buenos Aires,06,2021-01-18,5475,0,5035.0,06,Buenos Aires,17709598,90310,0.005099494635620752
21,Buenos Aires,06,2021-01-19,4448,80,4872.0,06,Buenos Aires,17709598,94758,0.005350657874899249
22,Buenos Aires,06,2021-01-20,2829,119,4620.0,06,Buenos Aires,17709598,97587,0.0055104017606723765
23,Buenos Aires,06,2021-01-21,1625,1636,4665.0,06,Buenos Aires,17709598,99212,0.005602159913511306
24,Buenos Aires,06,2021-01-22,1346,1095,3795.0,06,Buenos Aires,17709598,100558,0.005678163897339736
