	jurisdiccion_aplicacion	jurisdiccion_aplicacion_id	cantidad	cantidad1	cantidad2	id	provincia	poblacion_2021_est	Porcentaje_Poblacion_Vacunada	Desvio_Std_Porcentaje
0	Buenos Aires	06	11966542	9556724	2409818	06	Buenos Aires	17709598	0.5396352870347481	-0.001
1	CABA	02	2700101	2037293	662808	02	CABA	3078836	0.6617088406137904	0.121
2	Catamarca	10	284075	230541	53534	10	Catamarca	418991	0.5502290025322739	0.01
3	Chaco	22	710216	555682	154534	22	Chaco	1216247	0.4568825246845419	-0.084
4	Chubut	26	397535	311119	86416	26	Chubut	629181	0.4944825098024257	-0.046
5	Corrientes	18	718227	560416	157811	18	Corrientes	1130320	0.49580295845424305	-0.045
6	Córdoba	14	2701110	2088429	612681	14	Córdoba	3798261	0.5498382022720397	0.009
7	Entre Ríos	30	883597	696162	187435	30	Entre Ríos	1398510	0.49778836046935665	-0.043
8	Formosa	34	412940	338401	74539	34	Formosa	610019	0.5547384589660322	0.014
9	Jujuy	38	511814	401046	110768	38	Jujuy	779212	0.5146814987448859	-0.026
10	La Pampa	42	294907	214105	80802	42	La Pampa	361394	0.5924420438634842	0.052
11	La Rioja	46	291088	226982	64106	46	La Rioja	398648	0.5693795027191909	0.029
12	Mendoza	50	1313687	1062875	250812	50	Mendoza	2010363	0.5286980510484922	-0.012
13	Misiones	54	641897	484145	157752	54	Misiones	1274992	0.3797239512091056	-0.161
14	Neuquén	58	503141	385591	117550	58	Neuquén	672461	0.5734027698260569	0.033
15	Río Negro	62	549300	432723	116577	62	Río Negro	757052	0.5715895341403232	0.031
16	Salta	66	830374	665162	165212	66	Salta	1441988	0.46128123118916387	-0.079
17	San Juan	70	545476	430467	115009	70	San Juan	789489	0.5452476221961294	0.005
18	San Luis	74	409624	303287	106337	74	San Luis	514610	0.5893531023493519	0.049
19	Santa Cruz	78	235693	179005	56688	78	Santa Cruz	374756	0.4776574624555711	-0.063
20	Santa Fe	82	2585179	2040728	544451	82	Santa Fe	3563390	0.5726928570827218	0.032
21	Santiago del Estero	86	696274	567648	128626	86	Santiago del Estero	988245	0.5744000728564274	0.034
22	Tierra del Fuego	94	124701	97292	27409	94	Tierra del Fuego	177697	0.5475162777086838	0.007
23	Tucumán	90	1163576	888818	274758	90	Tucumán	1714487	0.5184162959532501	-0.022
