fecha_apertura;residencia_provincia_nombre;residencia_provincia_id;cantidad
2/3/2020;CABA;2;1
3/3/2020;CABA;2;1
3/3/2020;Córdoba;14;1
4/3/2020;Buenos Aires;6;1
5/3/2020;CABA;2;5
5/3/2020;La Rioja;46;1
6/3/2020;Buenos Aires;6;2
6/3/2020;CABA;2;2
7/3/2020;Buenos Aires;6;1
7/3/2020;CABA;2;1
7/3/2020;Chaco;22;3
7/3/2020;Río Negro;62;1
8/3/2020;CABA;2;1
8/3/2020;San Luis;74;1
9/3/2020;Buenos Aires;6;3
9/3/2020;CABA;2;1
10/3/2020;Buenos Aires;6;2
10/3/2020;CABA;2;3
10/3/2020;Chaco;22;1
10/3/2020;Córdoba;14;1
10/3/2020;Entre Ríos;30;1
11/3/2020;Buenos Aires;6;3
11/3/2020;CABA;2;5
11/3/2020;Chaco;22;1
11/3/2020;Neuquén;58;1
11/3/2020;Tierra del Fuego;94;2
12/3/2020;Buenos Aires;6;8
12/3/2020;CABA;2;10
12/3/2020;Chaco;22;2
12/3/2020;Santa Fe;82;1
12/3/2020;Santiago del Estero;86;1
13/3/2020;Buenos Aires;6;11
13/3/2020;CABA;2;10
13/3/2020;Chaco;22;5
13/3/2020;Córdoba;14;1
13/3/2020;Entre Ríos;30;2
13/3/2020;Jujuy;38;1
13/3/2020;Mendoza;50;1
13/3/2020;Salta;66;1
13/3/2020;Santa Cruz;78;1
13/3/2020;Tucumán;90;2
14/3/2020;Buenos Aires;6;3
14/3/2020;CABA;2;3
14/3/2020;Córdoba;14;3
14/3/2020;Río Negro;62;3
14/3/2020;Salta;66;1
15/3/2020;Buenos Aires;6;7
15/3/2020;CABA;2;7
15/3/2020;Córdoba;14;1
15/3/2020;Santiago del Estero;86;1
16/3/2020;Buenos Aires;6;10
16/3/2020;CABA;2;9
16/3/2020;Chaco;22;1
16/3/2020;Córdoba;14;3
16/3/2020;Entre Ríos;30;1
16/3/2020;Neuquén;58;1
16/3/2020;San Luis;74;1
16/3/2020;Tierra del Fuego;94;1
17/3/2020;Buenos Aires;6;13
17/3/2020;CABA;2;22
17/3/2020;Chaco;22;8
17/3/2020;Córdoba;14;5
17/3/2020;Neuquén;58;1
17/3/2020;San Luis;74;2
17/3/2020;Santa Fe;82;3
17/3/2020;Tucumán;90;1
18/3/2020;Buenos Aires;6;13
18/3/2020;CABA;2;12
18/3/2020;Chaco;22;4
18/3/2020;Corrientes;18;4
18/3/2020;Mendoza;50;4
18/3/2020;Río Negro;62;1
18/3/2020;Santa Cruz;78;4
