,index,fecha_aplicacion,vacuna,cantidad,cantidad1,cantidad2
0,0,2020-12-29,COVISHIELD,1,1,0
1,1,2020-12-29,Sputnik,20455,20453,2
2,2,2020-12-30,Sputnik,20049,20049,0
3,3,2020-12-31,Sputnik,2806,2806,0
4,4,2021-01-01,AstraZeneca,1,1,0
5,5,2021-01-01,COVISHIELD,1,1,0
6,6,2021-01-01,Sputnik,119,119,0
7,7,2021-01-02,COVISHIELD,1,1,0
8,8,2021-01-02,Sputnik,3287,3286,1
9,9,2021-01-03,Sputnik,441,437,4
10,10,2021-01-04,Sputnik,10406,10404,2
11,11,2021-01-05,Sinopharm,3,3,0
12,12,2021-01-05,Sputnik,10706,10703,3
13,13,2021-01-06,Sinopharm,2,2,0
14,14,2021-01-06,Sputnik,10095,10095,0
15,15,2021-01-07,AstraZeneca,1,1,0
16,16,2021-01-07,Sputnik,18191,18189,2
17,17,2021-01-08,Sputnik,27835,27830,5
18,18,2021-01-09,Sinopharm,1,1,0
19,19,2021-01-09,Sputnik,10177,10177,0
20,20,2021-01-10,Sputnik,1156,1156,0
21,21,2021-01-11,COVISHIELD,1,1,0
22,22,2021-01-11,Sinopharm,1,1,0
23,23,2021-01-11,Sputnik,19766,19762,4
24,24,2021-01-12,Sinopharm,1,1,0
25,25,2021-01-12,Sputnik,19355,19354,1
26,26,2021-01-13,Sinopharm,3,3,0
27,27,2021-01-13,Sputnik,16717,16717,0
28,28,2021-01-14,Sinopharm,1,1,0
29,29,2021-01-14,Sputnik,16610,16610,0
30,30,2021-01-15,Sputnik,17393,17390,3
31,31,2021-01-16,Sputnik,5871,5870,1
32,32,2021-01-17,Sputnik,1054,1053,1
33,33,2021-01-18,Sputnik,9804,9800,4
34,34,2021-01-19,Sinopharm,1,1,0
35,35,2021-01-19,Sputnik,13191,7792,5399
36,36,2021-01-20,Sputnik,19344,5889,13455
37,37,2021-01-21,AstraZeneca,4,4,0
38,38,2021-01-21,COVISHIELD,1,1,0
39,39,2021-01-21,Sinopharm,2,2,0
40,40,2021-01-21,Sputnik,14042,4757,9285
41,41,2021-01-22,AstraZeneca,1,1,0
42,42,2021-01-22,COVISHIELD,2,2,0
43,43,2021-01-22,Sinopharm,1,1,0
44,44,2021-01-22,Sputnik,9149,4972,4177
45,45,2021-01-23,COVISHIELD,5,5,0
46,46,2021-01-23,Sputnik,3908,1090,2818
47,47,2021-01-24,AstraZeneca,1,1,0
48,48,2021-01-24,COVISHIELD,2,2,0
49,49,2021-01-24,Sputnik,297,86,211
50,50,2021-01-25,COVISHIELD,8,8,0
51,51,2021-01-25,Sputnik,14129,7088,7041
52,52,2021-01-26,COVISHIELD,39,39,0
53,53,2021-01-26,Sinopharm,1,0,1
54,54,2021-01-26,Sputnik,12632,5186,7446
