,fecha_apertura,residencia_provincia_nombre,residencia_provincia_id,cantidad
0,2020-03-02,CABA,02,1
1,2020-03-03,CABA,02,1
2,2020-03-03,Córdoba,14,1
3,2020-03-04,Buenos Aires,06,1
4,2020-03-05,CABA,02,5
5,2020-03-05,La Rioja,46,1
6,2020-03-06,Buenos Aires,06,2
7,2020-03-06,CABA,02,2
8,2020-03-07,Buenos Aires,06,1
9,2020-03-07,CABA,02,1
10,2020-03-07,Chaco,22,3
11,2020-03-07,Río Negro,62,1
12,2020-03-08,CABA,02,1
13,2020-03-08,San Luis,74,1
14,2020-03-09,Buenos Aires,06,3
15,2020-03-09,CABA,02,1
16,2020-03-10,Buenos Aires,06,2
17,2020-03-10,CABA,02,3
18,2020-03-10,Chaco,22,1
19,2020-03-10,Córdoba,14,1
20,2020-03-10,Entre Ríos,30,1
21,2020-03-11,Buenos Aires,06,3
22,2020-03-11,CABA,02,5
23,2020-03-11,Chaco,22,1
24,2020-03-11,Neuquén,58,1
25,2020-03-11,Tierra del Fuego,94,2
26,2020-03-12,Buenos Aires,06,8
27,2020-03-12,CABA,02,10
28,2020-03-12,Chaco,22,2
29,2020-03-12,Santa Fe,82,1
30,2020-03-12,Santiago del Estero,86,1
31,2020-03-13,Buenos Aires,06,11
32,2020-03-13,CABA,02,10
33,2020-03-13,Chaco,22,5
34,2020-03-13,Córdoba,14,1
35,2020-03-13,Entre Ríos,30,2
36,2020-03-13,Jujuy,38,1
37,2020-03-13,Mendoza,50,1
38,2020-03-13,Salta,66,1
39,2020-03-13,Santa Cruz,78,1
40,2020-03-13,Tucumán,90,2
41,2020-03-14,Buenos Aires,06,3
42,2020-03-14,CABA,02,3
43,2020-03-14,Córdoba,14,3
44,2020-03-14,Río Negro,62,3
45,2020-03-14,Salta,66,1
46,2020-03-15,Buenos Aires,06,7
47,2020-03-15,CABA,02,7
48,2020-03-15,Córdoba,14,1
49,2020-03-15,Santiago del Estero,86,1
50,2020-03-16,Buenos Aires,06,10
51,2020-03-16,CABA,02,9
52,2020-03-16,Chaco,22,1
53,2020-03-16,Córdoba,14,3
54,2020-03-16,Entre Ríos,30,1
55,2020-03-16,Neuquén,58,1
56,2020-03-16,San Luis,74,1
57,2020-03-16,Tierra del Fuego,94,1
58,2020-03-17,Buenos Aires,06,13
59,2020-03-17,CABA,02,22
60,2020-03-17,Chaco,22,8
61,2020-03-17,Córdoba,14,5
62,2020-03-17,Neuquén,58,1
63,2020-03-17,San Luis,74,2
64,2020-03-17,Santa Fe,82,3
65,2020-03-17,Tucumán,90,1
66,2020-03-18,Buenos Aires,06,13
67,2020-03-18,CABA,02,12
68,2020-03-18,Chaco,22,4
69,2020-03-18,Corrientes,18,4
70,2020-03-18,Mendoza,50,4
71,2020-03-18,Río Negro,62,1
72,2020-03-18,Santa Cruz,78,4
73,2020-03-18,Santa Fe,82,3
74,2020-03-18,Tierra del Fuego,94,4
75,2020-03-19,Buenos Aires,06,11
76,2020-03-19,CABA,02,11
77,2020-03-19,Chaco,22,2
78,2020-03-19,Córdoba,14,6
79,2020-03-19,Mendoza,50,1
80,2020-03-19,Neuquén,58,1
81,2020-03-19,Santa Cruz,78,1
82,2020-03-19,Santa Fe,82,1
83,2020-03-19,Santiago del Estero,86,1
84,2020-03-19,Tucumán,90,5
85,2020-03-20,Buenos Aires,06,20
86,2020-03-20,CABA,02,30
87,2020-03-20,Chaco,22,16
88,2020-03-20,Córdoba,14,8
89,2020-03-20,Mendoza,50,1
90,2020-03-20,Santa Fe,82,4
91,2020-03-20,Tierra del Fuego,94,4
92,2020-03-21,Buenos Aires,06,23
93,2020-03-21,CABA,02,23
94,2020-03-21,Chaco,22,3
95,2020-03-21,Córdoba,14,7
96,2020-03-21,La Pampa,42,1
97,2020-03-21,Mendoza,50,1
