fecha_apertura,residencia_provincia_nombre,residencia_provincia_id,cantidad
2020-03-02,CABA,02,1
2020-03-03,CABA,02,1
2020-03-03,Córdoba,14,1
2020-03-04,Buenos Aires,06,1
2020-03-05,CABA,02,5
2020-03-05,La Rioja,46,1
2020-03-06,Buenos Aires,06,2
2020-03-06,CABA,02,2
2020-03-07,Buenos Aires,06,1
2020-03-07,CABA,02,1
2020-03-07,Chaco,22,3
2020-03-07,Río Negro,62,1
2020-03-08,CABA,02,1
2020-03-08,San Luis,74,1
2020-03-09,Buenos Aires,06,3
2020-03-09,CABA,02,1
2020-03-10,Buenos Aires,06,2
2020-03-10,CABA,02,3
2020-03-10,Chaco,22,1
2020-03-10,Córdoba,14,1
2020-03-10,Entre Ríos,30,1
2020-03-11,Buenos Aires,06,3
2020-03-11,CABA,02,5
2020-03-11,Chaco,22,1
2020-03-11,Neuquén,58,1
2020-03-11,Tierra del Fuego,94,2
2020-03-12,Buenos Aires,06,8
2020-03-12,CABA,02,10
2020-03-12,Chaco,22,2
2020-03-12,Santa Fe,82,1
2020-03-12,Santiago del Estero,86,1
2020-03-13,Buenos Aires,06,11
2020-03-13,CABA,02,10
2020-03-13,Chaco,22,5
2020-03-13,Córdoba,14,1
2020-03-13,Entre Ríos,30,2
2020-03-13,Jujuy,38,1
2020-03-13,Mendoza,50,1
2020-03-13,Salta,66,1
2020-03-13,Santa Cruz,78,1
2020-03-13,Tucumán,90,2
2020-03-14,Buenos Aires,06,3
2020-03-14,CABA,02,3
2020-03-14,Córdoba,14,3
2020-03-14,Río Negro,62,3
2020-03-14,Salta,66,1
2020-03-15,Buenos Aires,06,7
2020-03-15,CABA,02,7
2020-03-15,Córdoba,14,1
2020-03-15,Santiago del Estero,86,1
2020-03-16,Buenos Aires,06,10
2020-03-16,CABA,02,9
2020-03-16,Chaco,22,1
2020-03-16,Córdoba,14,3
2020-03-16,Entre Ríos,30,1
2020-03-16,Neuquén,58,1
2020-03-16,San Luis,74,1
2020-03-16,Tierra del Fuego,94,1
2020-03-17,Buenos Aires,06,13
2020-03-17,CABA,02,22
2020-03-17,Chaco,22,8
2020-03-17,Córdoba,14,5
2020-03-17,Neuquén,58,1
2020-03-17,San Luis,74,2
2020-03-17,Santa Fe,82,3
2020-03-17,Tucumán,90,1
2020-03-18,Buenos Aires,06,13
2020-03-18,CABA,02,12
2020-03-18,Chaco,22,4
2020-03-18,Corrientes,18,4
2020-03-18,Mendoza,50,4
2020-03-18,Río Negro,62,1
2020-03-18,Santa Cruz,78,4
2020-03-18,Santa Fe,82,3
2020-03-18,Tierra del Fuego,94,4
2020-03-19,Buenos Aires,06,11
2020-03-19,CABA,02,11
2020-03-19,Chaco,22,2
2020-03-19,Córdoba,14,6
2020-03-19,Mendoza,50,1
2020-03-19,Neuquén,58,1
2020-03-19,Santa Cruz,78,1
2020-03-19,Santa Fe,82,1
2020-03-19,Santiago del Estero,86,1
2020-03-19,Tucumán,90,5
2020-03-20,Buenos Aires,06,20
2020-03-20,CABA,02,30
2020-03-20,Chaco,22,16
2020-03-20,Córdoba,14,8
2020-03-20,Mendoza,50,1
2020-03-20,Santa Fe,82,4
2020-03-20,Tierra del Fuego,94,4
2020-03-21,Buenos Aires,06,23
2020-03-21,CABA,02,23
2020-03-21,Chaco,22,3
2020-03-21,Córdoba,14,7
2020-03-21,La Pampa,42,1
2020-03-21,Mendoza,50,1
2020-03-21,Río Negro,62,2
2020-03-21,Santa Cruz,78,1
2020-03-21,Santa Fe,82,5
2020-03-21,Tierra del Fuego,94,2
2020-03-21,Tucumán,90,1
2020-03-22,Buenos Aires,06,28
2020-03-22,CABA,02,20
2020-03-22,Chaco,22,7
2020-03-22,Corrientes,18,3
2020-03-22,Córdoba,14,3
2020-03-22,Jujuy,38,2
2020-03-22,Mendoza,50,1
2020-03-22,Río Negro,62,1
2020-03-22,San Luis,74,4
2020-03-22,Santa Fe,82,7
2020-03-22,Tierra del Fuego,94,4
2020-03-23,Buenos Aires,06,27
2020-03-23,CABA,02,28
2020-03-23,Chaco,22,4
2020-03-23,Corrientes,18,2
2020-03-23,Córdoba,14,2
2020-03-23,Entre Ríos,30,4
2020-03-23,Jujuy,38,1
2020-03-23,Mendoza,50,1
2020-03-23,Neuquén,58,2
2020-03-23,Río Negro,62,2
2020-03-23,SIN ESPECIFICAR,99,2
2020-03-23,San Luis,74,2
2020-03-23,Santa Cruz,78,4
2020-03-23,Santa Fe,82,15
2020-03-23,Tierra del Fuego,94,2
2020-03-23,Tucumán,90,1
2020-03-24,Buenos Aires,06,27
2020-03-24,CABA,02,39
2020-03-24,Chaco,22,6
2020-03-24,Corrientes,18,2
2020-03-24,Córdoba,14,11
2020-03-24,Entre Ríos,30,1
2020-03-24,Jujuy,38,1
2020-03-24,Mendoza,50,4
2020-03-24,Río Negro,62,1
2020-03-24,Santa Cruz,78,3
2020-03-24,Santa Fe,82,5
2020-03-24,Santiago del Estero,86,2
2020-03-24,Tierra del Fuego,94,11
2020-03-24,Tucumán,90,3
2020-03-25,Buenos Aires,06,35
2020-03-25,CABA,02,28
2020-03-25,Chaco,22,10
2020-03-25,Corrientes,18,2
2020-03-25,Córdoba,14,8
2020-03-25,La Pampa,42,1
2020-03-25,La Rioja,46,1
2020-03-25,Mendoza,50,1
2020-03-25,Misiones,54,1
2020-03-25,Neuquén,58,4
2020-03-25,San Luis,74,1
2020-03-25,Santa Cruz,78,2
2020-03-25,Santa Fe,82,12
2020-03-25,Tierra del Fuego,94,6
2020-03-25,Tucumán,90,4
2020-03-26,Buenos Aires,06,32
2020-03-26,CABA,02,24
2020-03-26,Chaco,22,6
2020-03-26,Corrientes,18,2
2020-03-26,Córdoba,14,16
2020-03-26,Entre Ríos,30,2
2020-03-26,La Pampa,42,1
2020-03-26,La Rioja,46,1
2020-03-26,Neuquén,58,2
2020-03-26,San Juan,70,1
2020-03-26,San Luis,74,1
2020-03-26,Santa Cruz,78,1
2020-03-26,Santa Fe,82,14
2020-03-26,Tucumán,90,4
2020-03-27,Buenos Aires,06,28
2020-03-27,CABA,02,28
2020-03-27,Catamarca,10,2
2020-03-27,Chaco,22,15
2020-03-27,Córdoba,14,17
2020-03-27,La Rioja,46,2
2020-03-27,Mendoza,50,6
2020-03-27,Neuquén,58,3
2020-03-27,Salta,66,1
2020-03-27,Santa Cruz,78,2
2020-03-27,Santa Fe,82,13
2020-03-27,Tierra del Fuego,94,4
